,username,status,gender,translated_occupation_category_encoded,age_group_encoded,filtered sentence,caption,y
0,123canwe,14,1,12,3,I full fire friskier hell,man in red shirt is standing on bench next to the cameraman,0
1,123WILFREDO,14,1,2,0,ME GUSTA CONOCER CHICAS BONDADOSAS CARIÑOSAS Y MUY FUERTES EN LA MORAL,man in red shirt is sitting on the edge of river,0
2,52Jim52,10,1,12,3,Retired owner aerospace consuloting firm,man in black shirt is standing in front of wooden bench,0
3,Aaron90,14,1,10,0,Hello aaron Vermont I vermont 2 years Im really fun person I like camping bone fire etc,two girls are playing in the grass,0
4,Abou,14,1,0,1,I serious honest trustworthy like share love fan culture new different person,man in red shirt and black shorts is walking down the street,0
5,Agatha123,14,0,10,0,Hi im moving tirana nextmonth,young girl in pink shirt is standing in front of tree,0
6,Ahin,14,1,15,1,I friendly practical understandable,man in black shirt is standing in front of store,0
7,Airik,15,1,7,2,Im fortyfouryearold widower four years ready give love another try I natural healer writer I like read go walks watch movies generally hang significant Im meeting new people trying new things new experiences hope Send message lets see connect,man in black shirt is smiling at the camera,0
8,alaaeldin,13,1,3,2,Egyptian Engineer working Georgia live Tbilisi like musicmoviessportsgoing outtravelling,man in black shirt and black shirt is standing in front of an urban archway,0
9,Alexmmar,14,1,11,1,I super cheerful tender loving sentimental hardworking responsible person goals life I like travel know places people,man in black shirt is smiling,0
10,AlexNeyra,14,1,18,2,I easygoing funny I love pets music singing travelling nature walking beach looking someone special,man in red shirt is sitting on bench in front of large building,0
11,Alexxa,14,0,6,1,Im attractive charming honest great sense humor educated wellmannered,two girls are sitting on the sidewalk,0
12,alphamsesay,13,1,3,1,Tall black strong well built good looking physical athletic structure looking friendly relationship lead serious relationship marriage sierra leonean nationality currently based South Africa Durban,two girls are playing in the grass,0
13,AnaMaria6,15,0,12,3,I like read travel meet new people I cheerful nature sometimes I deliberately stupid things,man in black shirt is eating,0
14,andreortiz,14,0,2,0,hello guys Im andrea Im 22 years old Im psychology student Im loving romantic passionate person I like meet many people know tastes culture maybe find love I respect value people I like persistent achieve desires hola chicos soy andrea tengo 22 años soy estudiante de psicologíasoy una persona cariñosa romántica apasionada gusta conocer muchas personas saber de sus gustos cultura tal vez encuentre el amor respeto valoro las persona que hacen lo mismo por mi gusta ser perseverante lograr mis anhelos,two girls are playing in the grass,0
15,Andy213432,14,1,6,0,Love around people going,two girls are playing in the grass,0
16,Ang15,15,0,12,3,I widower lost husband 15 months ago Trying move easy I two grown children place So I live bungalow cats,man in black shirt is standing next to the camera,0
17,Angus,14,1,1,3,Country boy looking good mate see happens,man in red shirt is standing next to the phrase genocide display,0
